"Name","BirthDate"
"Burkhard Rost",1961-07-11
"Victor Gustav Bloede",1849-03-14
"Wilhelm Körner",1839-04-20
"Julius Plücker",1801-07-16
"Wernher von Braun",1912-03-23
"Robert Hübner",1948-11-06
"Ludwig Aschoff",1866-01-10
"Joseph Gottlieb Kölreuter",1733-04-27
"August Kekulé",1829-09-07
"Carl Friedrich Gauß",1777-04-30
"Gottfried Wilhelm Leibniz",1646-07-01
"Justus von Liebig",1803-05-12
"Niklas Luhmann",1927-12-08
"Paul Ehrlich",1854-03-14
"Kurt Mendelssohn",1906-01-07
"Alexander von Humboldt",1769-09-14
"Ferdinand von Richthofen",1833-05-05
"Horst Feistel",1915-01-30
"Otto Diels",1876-01-23
"Vladimir Köppen",1846-09-25
"Rudolf Carl Virchow",1821-10-13
"Carl Bosch",1874-08-27
"Theodor Curtius",1857-05-27
"Johann Peter Griess",1829-09-06
"Claus Karl Schilling",1871-07-05
"Bernd Brinkmann",1939-04-07
"Torsten Zuberbier",1962-02-28
"Wilhelm Gottlieb Tilesius von Tilenau",1769-07-17
"Christian Gottfried Ehrenberg",1795-04-19
"Paul Richard Heinrich Blasius",1883-08-09
"August Köhler",1866-03-04
"Georges Jean Franz Köhler",1946-04-17
"Heinrich Edmund Naumann",1854-09-11
"Gerhard Klimeck",1966-03-15
"Arthur Wehnelt",1871-04-04
"Krzysztof Wilmanski",1940-03-01
"Kurt Waldemar Tank",1898-02-24
"Otto Heinrich Warburg",1883-10-08
"Friedrich Gustav Jakob Henle.",1809-07-09
"Johannes Peter Müller",1801-07-14
"Reinhard Alfred Furrer",1940-11-25
"Diederich Hinrichsen",1939-02-17
"Gregor Wentzel",1898-02-17
"Ernst Wilhelm von Brücke",1819-07-06
"Falko E. P. Wilms",1961-07-30
"Johann Georg Dominicus von Linprun",1714-01-10
"Johann Andreas Segner",1704-10-09
